date,asset_downloads,sha512sum_downloads
2025-10-25,267,9
2025-10-26,267,9
2025-10-27,267,9
2025-10-28,267,9
2025-10-29,267,9
2025-10-30,267,9
2025-10-31,267,9
2025-11-01,267,9
2025-11-02,267,9
2025-11-03,267,9
2025-11-04,267,9
2025-11-05,267,9
2025-11-06,267,9
2025-11-07,267,9
2025-11-08,267,9
2025-11-09,267,9
2025-11-10,267,9
2025-11-11,268,9
2025-11-12,268,9
2025-11-13,268,9
2025-11-14,268,9
2025-11-15,268,9
2025-11-16,268,9
2025-11-17,268,9
2025-11-18,268,9
2025-11-19,268,9
2025-11-20,268,9
2025-11-21,268,9
2025-11-22,268,9
2025-11-23,268,9
2025-11-24,268,9
2025-11-25,268,9
2025-11-26,268,9
2025-11-27,268,9
2025-11-28,268,9
2025-11-29,268,9
2025-11-30,268,9
2025-12-01,268,9
2025-12-02,268,9
2025-12-03,268,9
2025-12-04,268,9
2025-12-05,268,9
2025-12-06,268,9
2025-12-07,268,9
2025-12-08,268,9
2025-12-09,268,9
2025-12-10,268,9
2025-12-11,268,9
2025-12-12,268,9
2025-12-13,268,9
2025-12-14,268,9
2025-12-15,268,9
2025-12-16,268,9
2025-12-17,268,9
2025-12-18,268,9
2025-12-19,268,9
2025-12-20,268,9
2025-12-21,268,9
2025-12-22,268,9
2025-12-23,268,9
2025-12-24,268,9
2025-12-25,268,9
2025-12-26,268,9
2025-12-27,268,9
2025-12-28,268,9
2025-12-29,268,9
2025-12-30,268,9
2025-12-31,268,9
2026-01-01,268,9
2026-01-02,268,9
2026-01-03,268,9
2026-01-04,268,9
2026-01-05,268,9
2026-01-06,268,9
2026-01-07,269,10
2026-01-08,269,10
2026-01-09,269,10
2026-01-10,269,10
2026-01-11,269,10
2026-01-12,269,10
2026-01-13,269,10
2026-01-14,269,10
2026-01-15,269,10
2026-01-16,269,10
2026-01-17,269,10
2026-01-18,269,10
2026-01-19,269,10
2026-01-20,269,10
2026-01-21,269,10
2026-01-22,269,10
2026-01-23,269,10
2026-01-24,269,10
2026-01-25,269,10
2026-01-26,270,11
2026-01-27,270,11
2026-01-28,270,11
2026-01-29,270,11
2026-01-30,271,12
2026-01-31,271,12
2026-02-01,271,12
2026-02-02,271,12
2026-02-03,272,13
2026-02-04,272,13
2026-02-05,272,13
2026-02-06,272,13
2026-02-07,272,13
2026-02-08,272,13
2026-02-09,272,13
2026-02-10,272,13
2026-02-15,272,13
2026-02-16,272,13
2026-02-17,272,13
2026-02-18,272,13
2026-02-19,272,13
2026-02-20,272,13
2026-02-21,272,13
2026-02-22,272,13
2026-02-23,272,13
2026-02-24,272,13
2026-02-25,272,13
2026-02-26,272,13
2026-02-27,272,13
2026-02-28,272,13
2026-03-01,272,13
2026-03-02,272,13
2026-03-03,272,13
2026-03-04,272,13
2026-03-05,272,13
2026-03-06,272,13
2026-03-07,272,13
2026-03-08,272,13
2026-03-09,272,13
