date,asset_downloads,sha512sum_downloads
2025-10-25,257,11
2025-10-26,257,11
2025-10-27,257,11
2025-10-28,257,11
2025-10-29,257,11
2025-10-30,257,11
2025-10-31,257,11
2025-11-01,257,11
2025-11-02,257,11
2025-11-03,257,11
2025-11-04,257,11
2025-11-05,257,11
2025-11-06,257,11
2025-11-07,257,11
2025-11-08,257,11
2025-11-09,257,11
2025-11-10,259,11
2025-11-11,260,11
2025-11-12,260,11
2025-11-13,260,11
2025-11-14,260,11
2025-11-15,260,11
2025-11-16,260,11
2025-11-17,260,11
2025-11-18,260,11
2025-11-19,260,11
2025-11-20,260,11
2025-11-21,260,11
2025-11-22,260,11
2025-11-23,260,11
2025-11-24,260,11
2025-11-25,260,11
2025-11-26,260,11
2025-11-27,260,11
2025-11-28,260,11
2025-11-29,260,11
2025-11-30,260,11
2025-12-01,260,11
2025-12-02,260,11
2025-12-03,260,11
2025-12-04,260,11
2025-12-05,260,11
2025-12-06,260,11
2025-12-07,260,11
2025-12-08,260,11
2025-12-09,261,11
2025-12-10,261,11
2025-12-11,261,11
2025-12-12,261,11
2025-12-13,261,11
2025-12-14,261,11
2025-12-15,261,11
2025-12-16,261,11
2025-12-17,261,11
2025-12-18,261,11
2025-12-19,261,11
2025-12-20,261,11
2025-12-21,261,11
2025-12-22,261,11
2025-12-23,261,11
2025-12-24,261,11
2025-12-25,261,11
2025-12-26,261,11
2025-12-27,261,11
2025-12-28,261,11
2025-12-29,261,11
