date,asset_downloads,sha512sum_downloads
2025-10-25,77038,489
2025-10-26,77038,489
2025-10-27,77058,489
2025-10-28,77065,489
2025-10-29,77081,489
2025-10-30,77081,489
2025-10-31,77081,489
2025-11-01,77081,489
2025-11-02,77081,489
2025-11-03,77085,489
2025-11-04,77085,489
2025-11-05,77085,489
2025-11-06,77089,489
2025-11-07,77089,489
2025-11-08,77089,489
2025-11-09,77090,491
2025-11-10,77096,491
2025-11-11,77097,491
2025-11-12,77103,491
2025-11-13,77103,491
2025-11-14,77103,491
2025-11-15,77103,491
2025-11-16,77105,491
2025-11-17,77110,491
2025-11-18,77110,491
2025-11-19,77110,491
2025-11-20,77110,491
2025-11-21,77110,491
2025-11-22,77112,491
