date,asset_downloads,sha512sum_downloads
2025-10-25,91117,3595712
2025-10-26,91119,3595712
2025-10-27,91120,3595712
2025-10-28,91122,3595712
2025-10-29,91123,3595712
2025-10-30,91125,3595712
2025-10-31,91126,3595712
2025-11-01,91127,3595712
2025-11-02,91128,3595712
2025-11-03,91129,3595712
2025-11-04,91130,3595712
2025-11-05,91131,3595712
2025-11-06,91132,3595712
2025-11-07,91133,3595712
2025-11-08,91134,3595712
2025-11-09,91136,3595712
2025-11-10,91139,3595712
2025-11-11,91142,3595712
2025-11-12,91155,3595712
2025-11-13,91157,3595712
2025-11-14,91158,3595712
2025-11-15,91159,3595712
2025-11-16,91160,3595712
2025-11-17,91162,3595712
2025-11-18,91164,3595712
2025-11-19,91165,3595712
2025-11-20,91166,3595712
2025-11-21,91168,3595712
2025-11-22,91169,3595712
2025-11-23,91170,3595712
2025-11-24,91171,3595712
2025-11-25,91172,3595712
2025-11-26,91174,3595712
2025-11-27,91175,3595712
2025-11-28,91177,3595712
2025-11-29,91178,3595712
2025-11-30,91178,3595712
2025-12-01,91179,3595712
2025-12-02,91180,3595712
2025-12-03,91181,3595712
2025-12-04,91185,3595712
2025-12-05,91186,3595712
2025-12-06,91187,3595712
2025-12-07,91188,3595712
2025-12-08,91191,3595712
2025-12-09,91192,3595712
2025-12-10,91193,3595712
2025-12-11,91194,3595712
2025-12-12,91196,3595712
2025-12-13,91197,3595712
2025-12-14,91198,3595712
2025-12-15,91200,3595712
2025-12-16,91201,3595712
2025-12-17,91202,3595712
2025-12-18,91203,3595712
2025-12-19,91204,3595712
2025-12-20,91205,3595712
2025-12-21,91206,3595712
2025-12-22,91207,3595712
2025-12-23,91208,3595712
2025-12-24,91209,3595712
2025-12-25,91210,3595712
2025-12-26,91211,3595712
2025-12-27,91212,3595712
2025-12-28,91213,3595712
2025-12-29,91214,3595712
2025-12-30,91215,3595712
2025-12-31,91216,3595712
2026-01-01,91217,3595712
2026-01-02,91218,3595712
2026-01-03,91219,3595712
2026-01-04,91220,3595712
2026-01-05,91221,3595712
2026-01-06,91222,3595712
2026-01-07,91224,3595713
2026-01-08,91226,3595713
2026-01-09,91227,3595713
2026-01-10,91228,3595713
2026-01-11,91229,3595713
2026-01-12,91230,3595713
2026-01-13,91231,3595713
2026-01-14,91232,3595713
2026-01-15,91233,3595713
2026-01-16,91233,3595713
2026-01-17,91234,3595713
2026-01-18,91235,3595713
2026-01-19,91236,3595713
2026-01-20,91238,3595713
2026-01-21,91239,3595713
2026-01-22,91240,3595713
2026-01-23,91241,3595713
2026-01-24,91242,3595713
2026-01-25,91243,3595713
2026-01-26,91246,3595714
2026-01-27,91247,3595714
2026-01-28,91248,3595714
2026-01-29,91249,3595714
2026-01-30,91251,3595715
2026-01-31,91252,3595715
2026-02-01,91253,3595715
2026-02-02,91254,3595715
2026-02-03,91257,3595716
2026-02-04,91258,3595716
2026-02-05,91259,3595716
2026-02-06,91260,3595716
2026-02-07,91261,3595716
2026-02-08,91262,3595716
2026-02-09,91263,3595716
2026-02-10,91264,3595716
2026-02-15,91269,3595716
2026-02-16,91270,3595716
2026-02-17,91271,3595716
2026-02-18,91272,3595716
2026-02-19,91273,3595716
2026-02-20,91274,3595716
2026-02-21,91275,3595716
2026-02-22,91276,3595716
2026-02-23,91277,3595716
