date,asset_downloads,sha512sum_downloads
2025-10-25,3873,9
2025-10-26,3873,9
2025-10-27,3873,9
2025-10-28,3873,9
2025-10-29,3873,9
2025-10-30,3873,9
2025-10-31,3873,9
2025-11-01,3873,9
2025-11-02,3875,9
2025-11-03,3875,9
2025-11-04,3875,9
2025-11-05,3875,9
2025-11-06,3875,9
2025-11-07,3875,9
2025-11-08,3875,9
2025-11-09,3875,9
2025-11-10,3875,9
2025-11-11,3875,9
2025-11-12,3875,9
2025-11-13,3875,9
2025-11-14,3875,9
2025-11-15,3875,9
2025-11-16,3875,9
2025-11-17,3875,9
2025-11-18,3875,9
2025-11-19,3875,9
2025-11-20,3875,9
2025-11-21,3875,9
2025-11-22,3875,9
2025-11-23,3875,9
2025-11-24,3875,9
2025-11-25,3875,9
2025-11-26,3875,9
2025-11-27,3875,9
2025-11-28,3875,9
2025-11-29,3875,9
2025-11-30,3875,9
2025-12-01,3875,9
2025-12-02,3875,9
2025-12-03,3875,9
2025-12-04,3875,9
2025-12-05,3875,9
2025-12-06,3875,9
