date,asset_downloads,sha512sum_downloads
2025-10-25,40830,167428
2025-10-26,40833,167428
2025-10-27,40834,167428
2025-10-28,40836,167428
2025-10-29,40839,167428
2025-10-30,40839,167428
2025-10-31,40840,167428
2025-11-01,40842,167428
2025-11-02,40843,167428
2025-11-03,40843,167428
2025-11-04,40844,167428
2025-11-05,40845,167428
2025-11-06,40845,167428
2025-11-07,40846,167428
2025-11-08,40846,167428
2025-11-09,40849,167428
2025-11-10,40850,167428
2025-11-11,40853,167428
2025-11-12,40854,167428
2025-11-13,40855,167428
2025-11-14,40855,167428
2025-11-15,40856,167428
2025-11-16,40856,167428
2025-11-17,40860,167430
2025-11-18,40861,167430
2025-11-19,40861,167430
2025-11-20,40862,167430
2025-11-21,40863,167430
2025-11-22,40863,167430
2025-11-23,40864,167430
2025-11-24,40866,167430
2025-11-25,40868,167430
2025-12-12,40909,167430
2025-12-13,40912,167430
2025-12-14,40915,167430
2025-12-15,40916,167430
2025-12-16,40917,167430
2025-12-17,40919,167430
2025-12-18,40920,167430
2025-12-19,40921,167430
2025-12-20,40922,167430
2025-12-21,40922,167430
2025-12-22,40923,167430
2025-12-23,40923,167430
2025-12-24,40925,167430
2025-12-25,40925,167430
2025-12-26,40926,167430
2025-12-27,40928,167430
2025-12-28,40929,167430
2025-12-29,40930,167430
2025-12-30,40931,167430
2025-12-31,40931,167430
2026-01-01,40932,167430
2026-01-02,40933,167430
2026-01-03,40933,167430
2026-01-04,40935,167430
2026-01-05,40937,167430
2026-01-06,40940,167430
2026-01-07,40942,167431
2026-01-08,40945,167431
2026-01-09,40947,167431
2026-01-10,40948,167431
2026-01-11,40950,167431
2026-01-12,40950,167431
2026-01-13,40951,167431
2026-01-14,40952,167431
