date,asset_downloads,sha512sum_downloads
2025-10-25,6601,24
2025-10-26,6601,24
2025-10-27,6601,24
2025-10-28,6601,24
2025-10-29,6601,24
2025-10-30,6601,24
2025-10-31,6601,24
2025-11-01,6601,24
2025-11-02,6601,24
2025-11-03,6601,24
2025-11-04,6601,24
2025-11-05,6601,24
2025-11-06,6601,24
2025-11-07,6601,24
2025-11-08,6601,24
2025-11-09,6601,24
2025-11-10,6601,24
2025-11-11,6601,24
2025-11-12,6601,24
2025-11-13,6601,24
2025-11-14,6601,24
2025-11-15,6601,24
2025-11-16,6601,24
2025-11-17,6601,24
2025-11-18,6601,24
2025-11-19,6601,24
2025-11-20,6601,24
2025-11-21,6601,24
2025-11-22,6601,24
2025-11-23,6601,24
2025-11-24,6601,24
2025-11-25,6601,24
2025-11-26,6601,24
2025-11-27,6601,24
2025-11-28,6601,24
2025-11-29,6601,24
2025-11-30,6601,24
2025-12-01,6601,24
2025-12-02,6601,24
2025-12-03,6601,24
2025-12-04,6601,24
2025-12-05,6601,24
2025-12-06,6601,24
2025-12-07,6601,24
2025-12-08,6601,24
2025-12-09,6601,24
2025-12-10,6601,24
2025-12-11,6601,24
2025-12-12,6601,24
2025-12-13,6601,24
2025-12-14,6601,24
2025-12-15,6601,24
2025-12-16,6601,24
2025-12-17,6601,24
2025-12-18,6601,24
2025-12-19,6601,24
2025-12-20,6601,24
2025-12-21,6601,24
2025-12-22,6601,24
2025-12-23,6601,24
2025-12-24,6601,24
2025-12-25,6601,24
2025-12-26,6601,24
2025-12-27,6601,24
2025-12-28,6601,24
2025-12-29,6601,24
2025-12-30,6601,24
2025-12-31,6601,24
2026-01-01,6601,24
2026-01-02,6601,24
2026-01-03,6601,24
2026-01-04,6601,24
2026-01-05,6601,24
2026-01-06,6601,24
2026-01-07,6602,25
2026-01-08,6602,25
