date,version_downloads
2026-03-26,90
2026-03-27,283
2026-03-28,338
2026-03-29,434
2026-03-30,628
2026-03-31,728
2026-04-01,827
2026-04-02,886
2026-04-03,938
2026-04-04,963
2026-04-05,993
2026-04-06,1059
2026-04-07,1105
2026-04-08,1176
2026-04-09,1226
2026-04-10,1250
2026-04-11,1271
2026-04-12,1321
2026-04-13,1375
2026-04-14,1431
2026-04-15,1478
2026-04-16,1540
2026-04-17,1583
2026-04-18,1592
2026-04-19,1627
2026-04-20,1660
2026-04-21,1721
2026-04-22,1779
2026-04-23,1816
2026-04-24,1842
2026-04-25,1854
