date,total_downloads
2025-11-02,46408
2025-11-03,46504
2025-11-04,46589
2025-11-05,46637
2025-11-06,46692
2025-11-07,46730
2025-11-08,46753
2025-11-09,46762
2025-11-10,46815
2025-11-11,46875
2025-11-12,46942
2025-11-13,47000
2025-11-14,47058
2025-11-15,47066
2025-11-16,47087
2025-11-17,47170
2025-11-18,47215
2025-11-19,47374
2025-11-20,47631
2025-11-21,47746
2025-11-22,47783
2025-11-23,47834
2025-11-24,47999
2025-11-25,48110
2025-11-26,48189
2025-11-27,48261
2025-11-28,48299
2025-11-29,48319
2025-11-30,48341
2025-12-01,48421
2025-12-02,48532
2025-12-03,48606
2025-12-04,48675
2025-12-05,48726
2025-12-06,48742
2025-12-07,48776
2025-12-08,48857
2025-12-09,48921
2025-12-10,49004
2025-12-11,49081
2025-12-12,49159
2025-12-13,49170
2025-12-14,49190
2025-12-15,49352
2025-12-16,49533
2025-12-17,49734
2025-12-18,49868
2025-12-19,49986
2025-12-20,50025
2025-12-21,50092
2025-12-22,50188
2025-12-23,50252
2025-12-24,50293
2025-12-25,50315
2025-12-26,50336
2025-12-27,50357
2025-12-28,50379
2025-12-29,50448
2025-12-30,50503
2025-12-31,50558
2026-01-01,50600
2026-01-02,50640
2026-01-03,50657
2026-01-04,50693
2026-01-05,50800
2026-01-06,50888
2026-01-07,50987
2026-01-08,51068
2026-01-09,51121
2026-01-10,51140
2026-01-11,51174
2026-01-12,51264
2026-01-13,51341
2026-01-14,51421
2026-01-15,51485
2026-01-16,51539
2026-01-17,51551
2026-01-18,51573
2026-01-19,51641
2026-01-20,51693
2026-01-21,51753
2026-01-22,51809
2026-01-23,51872
2026-01-24,51891
