date,version_downloads
2025-11-27,56
2025-11-28,251
2025-11-29,422
2025-11-30,644
2025-12-01,1167
2025-12-02,1666
2025-12-03,2164
2025-12-04,2565
2025-12-05,2837
2025-12-06,2993
2025-12-07,3176
2025-12-08,3625
2025-12-09,3997
2025-12-10,4482
2025-12-11,4891
2025-12-12,5189
2025-12-13,5315
2025-12-14,5552
2025-12-15,5933
2025-12-16,6323
2025-12-17,6685
2025-12-18,7179
2025-12-19,7431
2025-12-20,7535
2025-12-21,7713
2025-12-22,8083
2025-12-23,8471
2025-12-24,8677
2025-12-25,8877
2025-12-26,9048
2025-12-27,9153
2025-12-28,9321
2025-12-29,9700
2025-12-30,10028
2025-12-31,10334
2026-01-01,10526
2026-01-02,10808
2026-01-03,11008
2026-01-04,11229
2026-01-05,11616
2026-01-06,12058
2026-01-07,12518
2026-01-08,12934
2026-01-09,13248
2026-01-10,13388
2026-01-11,13585
2026-01-12,13960
2026-01-13,14446
