date,30d,90d,365d
2025-10-27,16663,57119,180393
2025-10-28,16269,57185,180482
2025-10-29,15661,56610,180594
2025-10-30,15182,55620,179865
2025-10-31,14798,55365,179183
2025-11-01,14441,54796,178724
2025-11-02,14182,53964,178623
2025-11-03,14256,52747,178578
2025-11-04,14369,51299,178218
2025-11-05,14131,50114,177920
2025-11-06,13960,49657,177590
2025-11-07,13726,49475,176585
2025-11-08,13369,48984,175722
2025-11-09,13179,48357,175585
2025-11-10,13300,47954,175418
2025-11-11,13400,47697,174956
2025-11-12,13266,47495,174533
2025-11-13,13010,47406,174104
2025-11-14,12815,47436,173718
2025-11-15,12486,47213,173329
2025-11-16,12378,46887,173290
2025-11-17,12454,46671,173282
