date,30d,90d,365d
2025-10-27,35363,109850,152077
2025-10-28,35688,110001,153382
2025-10-29,35615,110160,154682
2025-10-30,35508,110428,155910
2025-10-31,35259,110659,156928
2025-11-01,34863,110616,157785
2025-11-02,34718,110295,158739
2025-11-03,35305,110420,160133
2025-11-04,35890,110788,161667
2025-11-05,35934,110836,163086
2025-11-06,35946,110964,164447
2025-11-07,35861,111288,165632
2025-11-08,35296,111067,166493
2025-11-09,35102,110635,167548
2025-11-10,35676,110725,168952
2025-11-11,36029,110605,170266
2025-11-12,36015,110705,171630
2025-11-13,35968,110848,172948
2025-11-14,35859,111100,174147
