date,30d,90d,365d
2025-10-27,4579,13019,54356
2025-10-28,4630,13009,54313
2025-10-29,4637,13006,54350
2025-10-30,4559,13036,54369
2025-10-31,4507,13114,54382
2025-11-01,4389,13081,54327
2025-11-02,4327,12953,54357
2025-11-03,4385,12946,54442
2025-11-04,4433,12934,54459
2025-11-05,4410,12970,54466
2025-11-06,4347,13022,54482
2025-11-07,4247,13075,54339
2025-11-08,4107,13058,54244
2025-11-09,4019,13001,54232
2025-11-10,4108,13010,54327
2025-11-11,4187,13000,54356
2025-11-12,4191,13071,54391
2025-11-13,4141,13129,54389
2025-11-14,4039,13199,54358
2025-11-15,3895,13166,54293
2025-11-16,3861,13103,54329
2025-11-17,3968,13119,54416
2025-11-18,4044,13117,54417
2025-11-19,4092,13153,54489
2025-11-20,4100,13220,54493
2025-11-21,4104,13304,54494
2025-11-22,4014,13284,54430
2025-11-23,3958,13165,54457
2025-11-24,4039,13102,54525
2025-11-25,4097,13039,54558
2025-11-26,4075,13006,54582
2025-11-27,4047,12990,54592
2025-11-28,3993,13030,54548
2025-11-29,3901,13011,54508
2025-11-30,3849,12911,54534
2025-12-01,3958,12886,54639
2025-12-02,4052,12897,54679
2025-12-03,4058,12898,54675
2025-12-04,4069,12841,54680
2025-12-05,4034,12893,54674
2025-12-06,3938,12858,54546
2025-12-07,3918,12754,54556
2025-12-08,4014,12701,54591
2025-12-09,4089,12677,54489
2025-12-10,4086,12654,54455
2025-12-11,4080,12698,54454
2025-12-12,3999,12751,54418
2025-12-13,3887,12700,54355
2025-12-14,3828,12586,54370
2025-12-15,3925,12535,54447
2025-12-16,4010,12520,54360
2025-12-17,3965,12495,54258
2025-12-18,3908,12500,54232
2025-12-19,3798,12540,54193
2025-12-20,3670,12511,54136
2025-12-21,3565,12377,54128
2025-12-22,3643,12347,54203
2025-12-23,3706,12288,54235
2025-12-24,3636,12212,54235
2025-12-25,3552,12117,54239
2025-12-26,3452,12106,54222
2025-12-27,3378,12054,54194
2025-12-28,3327,11954,54196
2025-12-29,3372,11832,54247
2025-12-30,3372,11727,54233
2025-12-31,3274,11622,54236
2026-01-01,3151,11528,54218
2026-01-02,3055,11498,54150
2026-01-03,2943,11445,54094
2026-01-04,2870,11313,54103
2026-01-05,2975,11260,54209
2026-01-06,3038,11199,54210
2026-01-07,3043,11163,54183
2026-01-08,3046,11155,54073
2026-01-09,3020,11215,53921
2026-01-10,2921,11189,53809
2026-01-11,2896,11087,53826
2026-01-12,2858,11087,53794
2026-01-13,2858,11087,53794
2026-01-14,3097,10916,53713
2026-01-15,3089,10960,53638
2026-01-16,3131,11065,53627
2026-01-17,3073,11024,53514
2026-01-18,3089,10978,53586
2026-01-19,3201,10971,53655
2026-01-20,3332,11000,53662
2026-01-21,3359,11017,53626
2026-01-22,3396,11059,53555
2026-01-23,3451,11127,53413
2026-01-24,3441,11090,53213
2026-01-25,3437,10964,53137
2026-01-26,3558,10981,53149
2026-01-27,3660,10980,53002
2026-01-28,3728,10999,52808
2026-01-29,3793,11013,52665
2026-01-30,3848,11081,52561
2026-01-31,3857,11059,52426
2026-02-01,3891,11002,52419
2026-02-02,3995,11007,52458
2026-02-03,4083,10989,52368
2026-02-04,4055,10970,52235
2026-02-05,4052,11009,52121
2026-02-06,4016,11072,52027
2026-02-07,3928,11064,51922
2026-02-08,3879,10986,51903
2026-02-09,3980,10979,51941
2026-02-10,4032,10927,51836
2026-02-15,3785,10877,51352
2026-02-16,3838,10818,51344
2026-02-17,3842,10728,51235
2026-02-18,3788,10660,51138
2026-02-19,3758,10654,51084
2026-02-20,3681,10684,51015
2026-02-21,3573,10675,50923
2026-02-22,3520,10606,50915
2026-02-23,3609,10598,50948
2026-02-24,3681,10575,50886
2026-02-25,3637,10567,50819
2026-02-26,3606,10596,50775
2026-02-27,3541,10641,50692
2026-02-28,3459,10624,50622
2026-03-01,3414,10535,50638
2026-03-02,3475,10483,50676
2026-03-03,3518,10463,50596
2026-03-04,3498,10435,50538
2026-03-05,3477,10429,50441
2026-03-06,3471,10502,50365
2026-03-07,3398,10488,50245
2026-03-08,3364,10422,50255
2026-03-09,3445,10420,50292
2026-03-10,3498,10396,50249
2026-03-11,3468,10364,50208
2026-03-12,3445,10373,50111
2026-03-13,3385,10429,50031
2026-03-14,3308,10427,49939
2026-03-15,3283,10360,49951
