date,30d,90d,365d
2025-10-28,29538,71184,388603
2025-10-29,29749,71008,387800
2025-10-30,29951,70941,387010
2025-10-31,30069,70884,386229
2025-11-01,30271,70820,385708
2025-11-02,30462,70694,385394
2025-11-03,30865,70679,385116
2025-11-04,31151,70633,384473
2025-11-05,31255,70550,383724
2025-11-06,31402,70549,383126
2025-11-07,31464,70558,382500
2025-11-08,29282,70527,382010
2025-11-09,27986,70456,381641
2025-11-10,27363,70451,381364
2025-11-11,26522,70426,380819
2025-11-12,25720,70405,380194
2025-11-13,25076,70391,379622
2025-11-14,24654,70429,379107
2025-11-15,24303,70363,378653
2025-11-16,23990,70180,378356
2025-11-17,23793,70119,378058
2025-11-18,23638,70017,377568
2025-11-19,22798,69963,377036
2025-11-20,20560,69904,375929
2025-11-21,19372,69884,373402
2025-11-22,18309,69751,372007
2025-11-23,17583,69644,370993
2025-11-24,17123,68837,369979
2025-11-25,16608,66811,368613
2025-11-26,16083,65661,367429
2025-11-27,15724,64916,366437
2025-11-28,15430,64469,365629
2025-11-29,15080,63745,364789
2025-11-30,14827,63042,364159
2025-12-01,14619,62457,363577
2025-12-02,14432,62087,362687
2025-12-03,14086,61728,361790
2025-12-04,13865,61554,360987
2025-12-05,13806,61459,360338
2025-12-06,13958,61571,360118
2025-12-07,15982,63460,361895
2025-12-08,17445,64718,362969
2025-12-09,18257,65337,363112
2025-12-10,18708,65736,363021
2025-12-11,19141,66083,361483
2025-12-12,19560,66410,359825
