date,asset_downloads,sha512sum_downloads
2025-10-25,1031,27
2025-10-26,1033,27
2025-10-27,1034,27
2025-10-28,1035,27
2025-10-29,1036,27
2025-10-30,1037,27
2025-10-31,1038,27
2025-11-01,1039,27
2025-11-02,1040,27
2025-11-03,1041,27
2025-11-04,1042,27
2025-11-05,1043,27
2025-11-06,1044,27
2025-11-07,1045,27
2025-11-08,1046,27
2025-11-09,1047,27
2025-11-10,1048,27
2025-11-11,1049,27
2025-11-12,1050,27
2025-11-13,1051,27
2025-11-14,1052,27
2025-11-15,1053,27
2025-11-16,1054,27
2025-11-17,1055,27
2025-11-18,1056,27
2025-11-19,1057,27
2025-11-20,1058,27
2025-11-21,1059,27
2025-11-22,1060,27
2025-11-23,1061,27
2025-11-24,1062,27
2025-11-25,1063,27
2025-11-26,1064,27
2025-11-27,1065,27
2025-11-28,1066,27
2025-11-29,1067,27
2025-11-30,1067,27
2025-12-01,1068,27
2025-12-02,1069,27
2025-12-03,1070,27
2025-12-04,1071,27
2025-12-05,1072,27
2025-12-06,1073,27
2025-12-07,1074,27
2025-12-08,1075,27
2025-12-09,1076,27
