date,asset_downloads,sha512sum_downloads
2025-10-25,37,18
2025-10-26,37,18
2025-10-27,37,18
2025-10-28,37,18
2025-10-29,37,18
2025-10-30,37,18
2025-10-31,37,18
2025-11-01,37,18
2025-11-02,37,18
2025-11-03,37,18
2025-11-04,37,18
2025-11-05,37,18
2025-11-06,37,18
2025-11-07,37,18
2025-11-08,37,18
2025-11-09,37,18
2025-11-10,37,18
2025-11-11,37,18
2025-11-12,37,18
2025-11-13,37,18
2025-11-14,37,18
2025-11-15,37,18
2025-11-16,37,18
2025-11-17,37,18
2025-11-18,37,18
2025-11-19,37,18
2025-11-20,37,18
2025-11-21,37,18
2025-11-22,37,18
2025-11-23,37,18
2025-11-24,37,18
2025-11-25,37,18
2025-11-26,37,18
2025-11-27,37,18
2025-11-28,37,18
2025-11-29,37,18
2025-11-30,37,18
2025-12-01,37,18
2025-12-02,37,18
2025-12-03,37,18
2025-12-04,37,18
2025-12-05,37,18
2025-12-06,37,18
2025-12-07,37,18
2025-12-08,37,18
2025-12-09,37,18
2025-12-10,37,18
2025-12-11,37,18
2025-12-12,37,18
2025-12-13,37,18
2025-12-14,37,18
2025-12-15,37,18
2025-12-16,37,18
2025-12-17,37,18
2025-12-18,37,18
2025-12-19,37,18
2025-12-20,37,18
2025-12-21,37,18
2025-12-22,37,18
2025-12-23,37,18
2025-12-24,37,18
2025-12-25,37,18
2025-12-26,37,18
2025-12-27,37,18
2025-12-28,37,18
2025-12-29,37,18
2025-12-30,37,18
2025-12-31,37,18
