date,30d,90d,365d
2025-10-28,4583,12467,44556
2025-10-29,4575,12496,44599
2025-10-30,4581,12575,44676
2025-10-31,4545,12582,44708
2025-11-01,4542,12615,44756
2025-11-02,4565,12630,44809
2025-11-03,4560,12616,44828
2025-11-04,4579,12659,44868
2025-11-05,4553,12708,44904
2025-11-06,4521,12746,44961
2025-11-07,4494,12779,44991
2025-11-08,4477,12796,44979
2025-11-09,4466,12817,45012
2025-11-10,4470,12843,45065
2025-11-11,4485,12881,45084
2025-11-12,4458,12925,45083
2025-11-13,4434,12955,45100
2025-11-14,4418,13005,45127
2025-11-15,4406,13038,45161
2025-11-16,4439,13074,45199
2025-11-17,4438,13084,45233
2025-11-18,4436,13104,45276
2025-11-19,4412,13122,45322
2025-11-20,4389,13142,45342
2025-11-21,4375,13176,45381
2025-11-22,4365,13200,45404
2025-11-23,4364,13251,45466
2025-11-24,4371,13254,45504
2025-11-25,4372,13279,45531
2025-11-26,4348,13271,45548
2025-11-27,4295,13270,45530
2025-11-28,4285,13305,45500
2025-11-29,4244,13296,45510
2025-11-30,4291,13313,45558
2025-12-01,4317,13326,45598
2025-12-02,4350,13320,45647
2025-12-03,4394,13334,45627
2025-12-04,4367,13350,45627
2025-12-05,4356,13354,45627
2025-12-06,4327,13356,45644
2025-12-07,4330,13374,45695
2025-12-08,4351,13372,45729
2025-12-09,4348,13382,45746
2025-12-10,4353,13377,45775
2025-12-11,4338,13399,45801
2025-12-12,4331,13437,45852
